,site,date,time,site_lat,site_lon,chime_diatoms_ug_per_l,chime_cyanobacteria_ug_per_l,chime_others_ug_per_l,lstm_lswt_c,s2_chl_ug_per_l,s2_tur_mg_per_l,s2_cdom_1_per_m,s3_chl_ug_per_l,s3_tur_mg_per_l,s3_cdom_1_per_m,diatoms_ug_per_l,cyanobacterial_ug_per_l,others_ug_per_l
1601,elbe-river_bunthaus_v0.3,2023-04-17,2023-04-17 12:00:00,53.461787,10.064451,38.47,0.0,15.670000000000002,10.3725,54.14,17.6363371245261,0.5668960246897232,54.14,17.6363371245261,0.5668960246897232,38.47,0.0,15.670000000000002
1602,elbe-river_bunthaus_v0.3,2023-04-18,2023-04-18 12:00:00,53.461787,10.064451,44.44,0.0,17.410000000000004,10.718333333333334,61.85,15.130747545445711,0.5696990643821989,61.85,15.130747545445711,0.5696990643821989,44.44,0.0,17.410000000000004
1603,elbe-river_bunthaus_v0.3,2023-04-19,2023-04-19 12:00:00,53.461787,10.064451,46.64,0.0,18.090000000000003,10.745,64.73,16.630212890055407,0.5699290664457043,64.73,16.630212890055407,0.5699290664457043,46.64,0.0,18.090000000000003
1604,elbe-river_bunthaus_v0.3,2023-04-20,2023-04-20 12:00:00,53.461787,10.064451,51.65,0.0,18.750000000000007,10.526666666666666,70.4,19.267036064936324,0.5369809564371241,70.4,19.267036064936324,0.5369809564371241,51.65,0.0,18.750000000000007
1605,elbe-river_bunthaus_v0.3,2023-04-21,2023-04-21 12:00:00,53.461787,10.064451,52.38,0.0,17.21999999999999,10.658333333333331,69.6,22.36803732866725,0.4989309463590231,69.6,22.36803732866725,0.4989309463590231,52.38,0.0,17.21999999999999
1606,elbe-river_bunthaus_v0.3,2023-04-22,2023-04-22 12:00:00,53.461787,10.064451,39.04,0.0,13.18,11.39,52.22,24.67920676582094,0.4922383531234068,52.22,24.67920676582094,0.4922383531234068,39.04,0.0,13.18
1607,elbe-river_bunthaus_v0.3,2023-04-23,2023-04-23 12:00:00,53.461787,10.064451,24.24,0.08,11.140000000000002,12.193333333333332,35.46,25.887041897540584,0.5097889553715031,35.46,25.887041897540584,0.5097889553715031,24.24,0.08,11.140000000000002
1608,elbe-river_bunthaus_v0.3,2023-04-24,2023-04-24 12:00:00,53.461787,10.064451,16.019312169312173,0.5009859154929577,8.221984119802478,12.616666666666667,24.74228220460761,29.86779430348984,0.5877203623914843,24.74228220460761,29.86779430348984,0.5877203623914843,16.019312169312173,0.5009859154929577,8.221984119802478
1609,elbe-river_bunthaus_v0.3,2023-04-25,2023-04-25 12:00:00,53.461787,10.064451,13.48,1.23,7.77,12.371666666666668,22.48,29.1387187712647,0.626934098744241,22.48,29.1387187712647,0.626934098744241,13.48,1.23,7.77
1610,elbe-river_bunthaus_v0.3,2023-04-26,2023-04-26 12:00:00,53.461787,10.064451,13.49,0.77,7.500000000000002,11.638333333333334,21.76,25.36453776611257,0.6413356393443259,21.76,25.36453776611257,0.6413356393443259,13.49,0.77,7.500000000000002
1611,elbe-river_bunthaus_v0.3,2023-04-27,2023-04-27 12:00:00,53.461787,10.064451,14.0,0.42,7.33,11.321666666666667,21.75,22.68883056284631,0.6809361081838963,21.75,22.68883056284631,0.6809361081838963,14.0,0.42,7.33
1612,elbe-river_bunthaus_v0.3,2023-04-28,2023-04-28 12:00:00,53.461787,10.064451,15.66,0.51,8.590000000000002,11.181666666666668,24.76,21.45426266161174,0.6659645970889594,24.76,21.45426266161174,0.6659645970889594,15.66,0.51,8.590000000000002
1613,elbe-river_bunthaus_v0.3,2023-04-29,2023-04-29 12:00:00,53.461787,10.064451,16.18,0.56,7.479999999999999,11.766666666666666,24.22,16.807621269563523,0.7482660853649276,24.22,16.807621269563523,0.7482660853649276,16.18,0.56,7.479999999999999
1614,elbe-river_bunthaus_v0.3,2023-04-30,2023-04-30 12:00:00,53.461787,10.064451,14.8,0.34,8.469999999999999,12.201666666666668,23.61,9.354039078448526,0.7726541458774377,23.61,9.354039078448526,0.7726541458774377,14.8,0.34,8.469999999999999
1615,elbe-river_bunthaus_v0.3,2023-05-01,2023-05-01 12:00:00,53.461787,10.064451,18.777581738162663,0.2260211267605633,4.768720928696493,12.616666666666667,23.77232379361972,10.034509575191988,0.7604427129156699,23.77232379361972,10.034509575191988,0.7604427129156699,18.777581738162663,0.2260211267605633,4.768720928696493
1616,elbe-river_bunthaus_v0.3,2023-05-02,2023-05-02 12:00:00,53.461787,10.064451,20.08479148402761,0.3376855677992041,9.004160418404004,12.666666666666666,29.426637470230816,14.617964421114026,0.7332311452201614,29.426637470230816,14.617964421114026,0.7332311452201614,20.08479148402761,0.3376855677992041,9.004160418404004
1617,elbe-river_bunthaus_v0.3,2023-05-03,2023-05-03 12:00:00,53.461787,10.064451,24.5,0.18,10.71,12.415,35.39,15.145329056090214,0.7272540028175094,35.39,15.145329056090214,0.7272540028175094,24.5,0.18,10.71
1618,elbe-river_bunthaus_v0.3,2023-05-04,2023-05-04 12:00:00,53.461787,10.064451,35.26,0.13,17.400000000000002,12.87,52.79,17.313113638572954,0.6355793489516685,52.79,17.313113638572954,0.6355793489516685,35.26,0.13,17.400000000000002
1619,elbe-river_bunthaus_v0.3,2023-05-05,2023-05-05 12:00:00,53.461787,10.064451,40.32,0.52,17.750000000000004,13.22,58.59,20.676582093904926,0.5904441919750831,58.59,20.676582093904926,0.5904441919750831,40.32,0.52,17.750000000000004
1620,elbe-river_bunthaus_v0.3,2023-05-06,2023-05-06 12:00:00,53.461787,10.064451,46.96,1.1,19.730000000000004,13.286666666666669,67.79,25.1506756099932,0.5462286270981703,67.79,25.1506756099932,0.5462286270981703,46.96,1.1,19.730000000000004
1621,elbe-river_bunthaus_v0.3,2023-05-07,2023-05-07 12:00:00,53.461787,10.064451,47.37,0.69,19.32,13.185,67.38,23.80431612715077,0.5319291001133994,67.38,23.80431612715077,0.5319291001133994,47.37,0.69,19.32
1622,elbe-river_bunthaus_v0.3,2023-05-08,2023-05-08 12:00:00,53.461787,10.064451,48.12,0.52,19.870000000000008,13.468333333333334,68.51,23.571011956838728,0.5344828929565303,68.51,23.571011956838728,0.5344828929565303,48.12,0.52,19.870000000000008
1623,elbe-river_bunthaus_v0.3,2023-05-09,2023-05-09 12:00:00,53.461787,10.064451,52.75,1.35,20.630000000000003,14.276,74.73,27.30533683289589,0.5293932037231233,74.73,27.30533683289589,0.5293932037231233,52.75,1.35,20.630000000000003
1624,elbe-river_bunthaus_v0.3,2023-05-10,2023-05-10 12:00:00,53.461787,10.064451,57.95,1.31,23.750000000000004,14.703333333333331,83.01,29.00019442014192,0.538424963079297,83.01,29.00019442014192,0.538424963079297,57.95,1.31,23.750000000000004
1625,elbe-river_bunthaus_v0.3,2023-05-12,2023-05-12 12:00:00,53.461787,10.064451,65.98085629065842,1.961989622705565,22.381552065722325,15.44,90.32439797908631,30.062214445416544,0.5100692753080491,90.32439797908631,30.062214445416544,0.5100692753080491,65.98085629065842,1.961989622705565,22.381552065722325
1626,elbe-river_bunthaus_v0.3,2023-05-13,2023-05-13 12:00:00,53.461787,10.064451,68.89,1.79,24.050000000000004,16.423333333333332,94.73,34.50471468844172,0.4965085367533703,94.73,34.50471468844172,0.4965085367533703,68.89,1.79,24.050000000000004
1627,elbe-river_bunthaus_v0.3,2023-05-14,2023-05-14 12:00:00,53.461787,10.064451,57.35,0.74,23.52,17.465,81.61,17.993584135316414,0.5743963267421849,81.61,17.993584135316414,0.5743963267421849,57.35,0.74,23.52
1628,elbe-river_bunthaus_v0.3,2023-05-15,2023-05-15 12:00:00,53.461787,10.064451,69.91080870135023,1.0895090226463362,25.44709989784643,18.005,96.447417621843,22.715563332361228,0.572917802273999,96.447417621843,22.715563332361228,0.572917802273999,69.91080870135023,1.0895090226463362,25.44709989784643
1629,elbe-river_bunthaus_v0.3,2023-05-16,2023-05-16 12:00:00,53.461787,10.064451,75.97,1.95,24.920000000000005,17.436666666666667,102.84,33.59823077670846,0.5094485194691314,102.84,33.59823077670846,0.5094485194691314,75.97,1.95,24.920000000000005
1630,elbe-river_bunthaus_v0.3,2023-05-17,2023-05-17 12:00:00,53.461787,10.064451,77.5,0.0,32.230000000000004,16.521666666666665,109.73,36.1864489161077,0.473301332788006,109.73,36.1864489161077,0.473301332788006,77.5,0.0,32.230000000000004
1631,elbe-river_bunthaus_v0.3,2023-05-18,2023-05-18 12:00:00,53.461787,10.064451,80.23,0.72,33.89,16.118333333333336,114.84,36.9228152036551,0.4621393607049259,114.84,36.9228152036551,0.4621393607049259,80.23,0.72,33.89
1632,elbe-river_bunthaus_v0.3,2023-05-19,2023-05-19 12:00:00,53.461787,10.064451,76.33,0.0,35.95,16.36,112.28,37.051618547681535,0.4528091853392637,112.28,37.051618547681535,0.4528091853392637,76.33,0.0,35.95
1633,elbe-river_bunthaus_v0.3,2023-05-20,2023-05-20 12:00:00,53.461787,10.064451,69.77,0.55,36.120000000000005,16.465,106.44,37.89734616506269,0.4425988059130131,106.44,37.89734616506269,0.4425988059130131,69.77,0.55,36.120000000000005
1634,elbe-river_bunthaus_v0.3,2023-05-21,2023-05-21 12:00:00,53.461787,10.064451,79.4,0.22,38.53,16.613333333333333,118.15,44.512491494118784,0.4131238351783307,118.15,44.512491494118784,0.4131238351783307,79.4,0.22,38.53
1635,elbe-river_bunthaus_v0.3,2023-05-23,2023-05-23 12:00:00,53.461787,10.064451,73.745,2.9450000000000003,32.24,17.924,108.93,37.41907261592301,0.4070645106673723,108.93,37.41907261592301,0.4070645106673723,73.745,2.9450000000000003,32.24
1636,elbe-river_bunthaus_v0.3,2023-05-24,2023-05-24 12:00:00,53.461787,10.064451,71.42,3.57,30.7,17.2,105.69,34.43180713521921,0.3853158011253955,105.69,34.43180713521921,0.3853158011253955,71.42,3.57,30.7
1637,elbe-river_bunthaus_v0.3,2023-05-25,2023-05-25 12:00:00,53.461787,10.064451,65.37,3.2,29.63,16.923333333333336,98.2,32.64557208126761,0.4537745961010017,98.2,32.64557208126761,0.4537745961010017,65.37,3.2,29.63
1638,elbe-river_bunthaus_v0.3,2023-05-26,2023-05-26 12:00:00,53.461787,10.064451,61.742134611175054,3.81334085206391,29.05352696588564,17.09,94.6090024291246,30.58714882861864,0.5044762954752142,94.6090024291246,30.58714882861864,0.5044762954752142,61.742134611175054,3.81334085206391,29.05352696588564
1639,elbe-river_bunthaus_v0.3,2023-05-27,2023-05-27 12:00:00,53.461787,10.064451,67.93,2.02,34.12999999999999,17.421666666666667,104.08,33.394089627685425,0.4761149475396099,104.08,33.394089627685425,0.4761149475396099,67.93,2.02,34.12999999999999
1640,elbe-river_bunthaus_v0.3,2023-05-28,2023-05-28 12:00:00,53.461787,10.064451,60.99795251085162,4.035891868524174,29.726459275160693,18.126666666666665,94.76030365453649,24.47749586857197,0.5059791293319439,94.76030365453649,24.47749586857197,0.5059791293319439,60.99795251085162,4.035891868524174,29.726459275160693
